Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0417,Teplárna Kladno - Elektrárna Kladno 2,Elektrárna Kladno 2,"Sev.en Zeta, a. s.","Průmyslová zóna Kladno východ, oblast Dříň, R110 kV ECK",2008,2020,20,Výroba elektřiny a tepla
CZ-0418,Všeobecná fakultní nemocnice - Benátská,Benátská,,,2008,2018,20,Výroba elektřiny a tepla
CZ-0419,Všeobecná fakultní nemocnice - Wenzigova,Wenzigova,,,2008,2018,20,Výroba elektřiny a tepla
CZ-0429,Teplárna Otrokovice - posilovací a záložní zdroj,Posilovací a záložní zdroj,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0423,KNAUF INSULATION,KNAUF INSULATION,"Knauf Insulation, spol. s r.o.","Pod Dolní drahou 10, Krupka 41742",2008,2025,33,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0434,"BFS Energo, a.s.",BFS Energo,,,2008,2014,1,Výroba elektřiny a tepla
CZ-0432,AGC Flat Glass Czech - výrobní linka R3,Výrobní linka R3,"AGC Flat Glass Czech a.s.,člen AGC Group","Sklářská 450, 415 03 Teplice",2008,2025,31,Sklo
CZ-0435,Liberty Ostrava,Liberty Ostrava,Liberty Ostrava a.s. (závod 15 – Rourovna),"Vratimovská 689, 707 02 Ostrava-Kunčice",2008,2024,25,Železo a ocel
CZ-0437,Glazura,Glazura,,,2008,2021,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0438,"Rockwool, Technologická linka BOH2",Technologická linka BOH2,"ROCKWOOL, a.s.","Cihelní 769, 739 11 Bohumín",2008,2025,31,Sklo
CZ-0440,HELUZ cihlářský průmysl v.o.s.,HELUZ cihlářský průmysl,"HELUZ cihlářský průmysl, a.s.",671 69 Hevlín,2008,2025,20,Výroba elektřiny a tepla
CZ-0439,Saint-Gobain Construction Products CZ a.s.,Saint-Gobain Construction Products CZ,Saint-Gobain Construction Products CZ a.s.,"Masarykova 197, 51750 Častolovice",2008,2025,1,Výroba elektřiny a tepla
CZ-0443,SLADOVNY SOUFFLET ČR - závod Kroměříž,Závod Kroměříž,"SLADOVNY SOUFFLET ČR, a.s.","J. Silného 2997, Kroměříž 76701",2009,2025,20,Výroba elektřiny a tepla
CZ-0441,Jaderná elektrárna Dukovany,Jaderná elektrárna Dukovany,"ČEZ, a.s.","Dukovany 269, 67550 Dukovany",2009,2020,20,Výroba elektřiny a tepla
CZ-0444,TAMEH Czech,TAMEH Czech,,,2010,2023,20,Výroba elektřiny a tepla
CZ-0446,Liberty Engineering Products Ostrava,Liberty Engineering Products Ostrava,Liberty Engineering Products Ostrava s.r.o.,"Vratimovská 689, 707 02 Ostrava-Kunčice",2011,2025,20,Výroba elektřiny a tepla
CZ-0447,ČEZ - Elektrárna Ledvice 4,Elektrárna Ledvice 4,,,2011,2020,20,Výroba elektřiny a tepla
CZ-0469,Gas Storage CZ - PZP Třanovice,PZP Třanovice,"Gas Storage, s.r.o. ","Třanovice 274, 739 93 Třanovice",2011,2025,20,Výroba elektřiny a tepla
CZ-0459,SPP Storage - PZP Dolní Bojanovice,PZP Dolní Bojanovice,"SPP Storage, s.r.o.","Dolní Bojanovice 891, 696 17 Dolní Bojanovice",2011,2025,20,Výroba elektřiny a tepla
CZ-0471,MND Energy Storage - PZP Uhřice,PZP Uhřice,MND Energy Storage a.s.,,2012,2025,20,Výroba elektřiny a tepla
CZ-0478,"ČEZ, a. s., Elektrárna Počerady 2",Elektrárna Počerady 2,"ČEZ, a.s.","Počerady 57, PSČ 440 01 Louny",2012,2025,20,Výroba elektřiny a tepla
CZ-0479,VIADRUS a.s.,VIADRUS,,,2012,2019,24,Železo a ocel
CZ-0455,"BorsodChem MCHZ, s.r.o.",BorsodChem MCHZ,"BorsodChem MCHZ, s.r.o.","Chemická 1/2039, 70903 Ostrava",2013,2025,38,Chemikálie
CZ-0457,"CS CABOT, spol. s r.o.",CS CABOT,"CS CABOT, spol.s r.o.","Masarykova 753, 757 27 Valašské Meziříčí",2013,2025,37,Chemikálie
CZ-0461,"Třinecké železárny, a.s. -  Kladno",Kladno,"TŘINECKÉ ŽELEZÁRNY, a.s.","Dříň, 272 01, Kladno Dříň",2013,2025,20,Výroba elektřiny a tepla
CZ-0453,Válcovny trub Chomutov - divize Chomutov,Divize Chomutov,"Válcovny trub Chomutov, a.s.","Chomutov, Tovární 629, PSČ 430 01",2013,2025,20,Výroba elektřiny a tepla
CZ-0477,FERROMET - divize Veselí,Divize Veselí,,,2013,2017,20,Výroba elektřiny a tepla
CZ-0448,PRECHEZA výroba síranu vápenatého a anorg.pigmentů,Výroba síranu vápenatého a anorg.pigmentů,PRECHEZA a.s.,"Nábřeží Dr. E. Beneše 24, 751 62 Přerov",2013,2025,42,Chemikálie
CZ-0452,Constellium Extrusions Děčín s.r.o.,Constellium Extrusions Děčín s.r.o.,Constellium Extrusions Děčín s.r.o.,"Ústecká 37, 405 35 Děčín",2013,2025,27,Hliníku
CZ-0470,SYNTHOS Kralupy a.s. - provoz Styren,Provoz Styren,SYNTHOS Kralupy a.s. ,"Wichterleho  810, Kralupy nad Vltavou 278 01",2013,2025,42,Chemikálie
CZ-0458,SYNTHOS Kralupy a.s.- výroba Etylbenzen,Výroba Etylbenzen,SYNTHOS Kralupy a.s.,"Záluží 1, Litvínov, 436 70",2013,2025,42,Chemikálie
CZ-0475,SYNTHOS Kralupy a.s.-výroba Polystyreny,Výroba Polystyreny,SYNTHOS Kralupy a.s.,"Wichterleho  810, Kralupy nad Vltavou 278 01",2013,2025,42,Chemikálie
CZ-0462,"Válcovna kol, kovárna náprav BONATRANS GROUP a.s.","Válcovna kol, kovárna náprav",BONATRANS GROUP a.s.,"Revoluční 1234, 735 94 Bohumín",2013,2025,25,Železo a ocel
CZ-0476,Hyundai Motor Manufacturing Czech s.r.o.,Hyundai Motor Manufacturing Czech,Hyundai Motor Manufacturing Czech s.r.o.,"Průmyslová zóna Nošovice, 739 51 Nižní Lhoty 700",2013,2025,20,Výroba elektřiny a tepla
CZ-0474,"Pražská obalovna Herink, s.r.o.",Pražská obalovna Herink,,,2013,2015,20,Výroba elektřiny a tepla
CZ-0454,Špičkový zdroj – Spalovací turbíny s generátorem,Špičkový zdroj – Spalovací turbíny s generátorem,"Elektrárna Prostějov, s.r.o.","Rovná 4615, 796 01  Prostějov",2013,2020,20,Výroba elektřiny a tepla
CZ-0456,"Slévárny Třinec, a.s.",Slévárny Třinec,"Slévárny Třinec, a.s.","Třinec – Staré Město, PSČ 739 65, č. katastru: 770892",2013,2025,25,Železo a ocel
CZ-0480,Porr a.s. - Středokluky,Středokluky,Porr a.s.,252 68 Středokluky,2013,2025,20,Výroba elektřiny a tepla
CZ-0481,Tepelná a zvuková izolace Rotaflex,Tepelná a zvuková izolace Rotaflex,"UNION LESNÍ BRÁNA, a.s. ","Novosedlická 248, 417 03 Dubí",2013,2025,33,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0483,PK ELE,PK ELE,"ČEZ Teplárenská, a.s.","Bílina, Ledvice, PSČ 418 48",2014,2025,20,Výroba elektřiny a tepla
CZ-0482,"TŘINECKÉ ŽELEZÁRNY, a.s.(provoz VT-VÁLCOVNA TRUB)",Provoz VT-VÁLCOVNA TRUB,,,2014,2017,20,Výroba elektřiny a tepla
CZ-0450,POLDI TRADE a.s.,POLDI TRADE,,,2014,2017,24,Železo a ocel
CZ-0484,PZP Dambořice,PZP Dambořice,MND Gas Storage a.s.,"Dambořice, 696 35",2016,2025,20,Výroba elektřiny a tepla
CZ-0485,Spalovací zařízení kotelny,Spalovací zařízení kotelny,ENE20 s.r.o.,"Papírenská čp.2, Větřní 382 11",2015,2025,20,Výroba elektřiny a tepla
CZ-0486,Pittsburgh Corning CR,Pittsburgh Corning CR,"Pittsburgh Corning CR, s.r.o.","Průmyslová 3, Klášterec nad Ohří, 431 51",2016,2025,31,Sklo
CZ-0487,Papírna APIS s.r.o.,Papírna APIS,,,2017,2025,36,Papír
CZ-0488,Výrobní linky formalínu,Výrobní linky formalínu,Dukol Ostrava s.r.o.,"Mariánské Hory, Chemická 2039/1, PSČ 709 00, IČ 267 92 893",2020,2025,42,Chemikálie
CZ-0489,"Pražská obalovna Herink, s.r.o.",Pražská obalovna Herink,"Pražská obalovna Herink, s.r.o.","Hlavní 26, Herink, PSČ 251 01, IČ ",2020,2024,20,Výroba elektřiny a tepla
CZ-0490,Nexen Tire Europe s.r.o.,Nexen Tire Europe,Nexen Tire Europe s.r.o.,"Bitozeves, Průmyslová 1000, 
PSČ 438 01, IČ 036 14 131",2021,2025,20,Výroba elektřiny a tepla
CZ-0491,Kotelna Procter & Gamble Rakovník,Kotelna Rakovník,,,2022,2023,20,Výroba elektřiny a tepla
CZ-0492,Technologický komplex Energy nest,Technologický komplex Energy nest,"E.nest Energy, a.s.","Vraňany, PSČ 277 07, K.ú.: Vraňany 785 253",2024,2025,20,Výroba elektřiny a tepla
CZ-0495,Výroba sádry a sádrokartonových desek,Výroba sádry a sádrokartonových desek,"KNAUF Praha, spol. s r. o.","Počerady 17, PSČ 440 01, Louny",2025,2025,34,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0498,Plynová kotelna Prunéřov,Plynová kotelna Prunéřov,"ČEZ Teplárenská, a.s.","Bílina, Ledvice, PSČ 418 48",2025,2025,20,Výroba elektřiny a tepla
CZ-0497,"Saint-Gobain Construction Products CZ a.s., Rigips",Saint-Gobain Construction Products CZRigips,"Saint-Gobain Construction Products CZ a.s., Rigips","Horní Počaply 254, PSČ 277 03",2025,2025,34,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0496,Kalcinační jednotka Vřesová,Kalcinační jednotka Vřesová,"SUAS - Lindner, s.r.o.","Vřesová 1, PSČ 357 35, k.ú. 786721",2025,2025,34,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0499,Synthesia Nitrocellulose,Synthesia Nitrocellulose,"Synthesia Nitrocellulose, a.s.","Semtín 103, PSČ 530 02",2025,2025,38,Chemikálie
