Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0357,O-I Czech Republic - Rudolfova huť,Rudolfova huť,"O-I Czech Republic, a.s.","Dubí 3, Ruská 84, PSČ 417 03 ",2008,2025,31,Sklo
CZ-0274,OKIN FACILITY a.s. - Kotelna SKV,Kotelna SKV,,,2008,2021,20,Výroba elektřiny a tepla
CZ-0066,"Sklárny Moravia, a.s.",Sklárny Moravia,"SKLÁRNY MORAVIA, akciová společnost","Úsobrno č.pop. 79, 679 39 Úsobrno",2008,2025,7,Sklo
CZ-0010,Wienerberger - závod Řepov,Závod Řepov,"Wienerberger, s.r.o.","Řepov 43, 293 01 Mladá Boleslav",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0284,"Teplárna České Budějovice, Novohradská ul.",Novohradská ul.,"Teplárna České Budějovice, a.s.","Novohradská 398/32, České Budějovice, 372 15",2008,2025,20,Výroba elektřiny a tepla
CZ-0094,KAVALIERGLASS,KAVALIERGLASS,"Kavalierglass, a.s.","Sklářská 359, Sázava, 285 06",2008,2025,7,Sklo
CZ-0012,Wienerberger - závod Novosedly,Závod Novosedly,"Wienerberger, s.r.o.","Novosedly 365, 691 82 Novosedly na Moravě",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0014,Wienerberger - závod Týn n/Vltavou,Závod Týn n/Vltavou,"Wienerberger, s.r.o.","K Jihotvaru 418, 375 01 Týn nad Vltavou",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0101,ENERGETIKA TŘINEC - Teplárny a Tepelná zařízení,Teplárny a Tepelná zařízení,"ENERGETIKA TŘINEC, a.s.","Průmyslová 1024, 739 65 Třinec - Staré Město",2008,2025,20,Výroba elektřiny a tepla
CZ-0352,HELUZ cihl. prům. - Cihelna Kryry,Cihelna Kryry,,,2008,2014,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
