REGISTRY_CODE,INSTALLATION_IDENTIFIER,PERMIT_IDENTIFIER,INSTALLATION_NAME,IDENTIFIER_IN_REG,INSTALLATION_NAME_CLEAN,OPERATOR_NAME_CLEAN,OWNER_ASSIGNED,MAIN_ACTIVITY_TYPE_CODE,MAIN_ACTIVITY_TYPE_NAME,REAL_ACTIVITY,PERIOD_YEAR,VERIFIED_EMISSIONS,FREE_ALLOCATION (a+b+c),a_ALLOCATION,b_ALLOCATION_RESERVE,c_ALLOCATION_TRANSITIONAL
CZ,370,CZ-0342-06,Tereos TTD - Cukrovar ČeskéMeziříčí,Tereos TTD - Cukrovar České Meziříčí,Cukrovar České Meziříčí,Tereos TTD,Tereos,1,Combustion of fuels,Potravinářský průmysl,2021,75381,31212.0,31212,0,0
CZ,25,CZ-0063-05,Teva Czech Industries - Energetika - kotelna,Teva Czech Industries - Energetika - kotelna,Energetika – kotelna,Teva Czech Industries,Teva,1,Combustion of fuels,Chemikálie a hnojiva,2021,15373,9608.0,9608,0,0
CZ,297,CZ-0313-05,Thermoservis spol. s r. o. - Kotelna ŽOS Nymburk,Thermoservis spol. s r. o. - Kotelna ŽOS Nymburk,Kotelna ŽOS Nymburk,Thermoservis,Thermoservis ,20,Combustion of fuels,Výroba elektřiny a tepla,2021,5264,1693.0,1693,0,0
CZ,114,CZ-0192-05,Třinecké železárny,Třinecké železárny,Třinecké železárny,Třinecké železárny,Moravia Steel,24,Production of pig iron or steel,Železo a ocel,2021,2532658,3375076.0,3375076,0,0
CZ,201994,CZ-0461-13,"Třinecké železárny, a.s. -  Kladno","Třinecké železárny, a.s. - Kladno",Kladno,Třinecké železárny,Moravia Steel,20,Combustion of fuels,Železo a ocel,2021,43832,38934.0,38934,0,0
CZ,234,CZ-0400-05,UNIPETROL - Petrochemie,UNIPETROL - Petrochemie,Petrochemie,UNIPETROL,ORLEN UNIPETROL,20,Combustion of fuels,Chemikálie a hnojiva,2021,2487570,582321.0,582321,0,0
CZ,112,CZ-0190-05,United Energy - Teplárna Komořany,United Energy - Teplárna Komořany,Teplárna Komořany,United Energy,EPH,20,Combustion of fuels,Výroba elektřiny a tepla,2021,826466,23715.0,23715,0,0
CZ,320,CZ-0179-05,VETROPACK MORAVIA GLASS,VETROPACK MORAVIA GLASS,VETROPACK MORAVIA GLASS,VETROPACK MORAVIA GLASS,Vetropack,31,Manufacture of glass,Sklo,2021,70007,55476.0,55476,0,0
CZ,338,CZ-0355-05,Varroc Lighting Systems - kotelna,"Varroc Lighting Systems, s.r.o.",Kotelna,Varroc Lighting Systems,Plastic Omnium,20,Combustion of fuels,Ostatní odvětví,2021,2090,953.0,953,0,0
CZ,209,CZ-0317-05,Veolia Energie - Elektrárna Třebovice,Veolia Energie - Elektrárna Třebovice,Elektrárna Třebovice,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,805867,43522.0,43522,0,0
CZ,210,CZ-0320-05,Veolia Energie - Mobilní kotelna Jižní Město,Veolia Energie - Mobilní kotelna Jižní Město,Mobilní kotelna Jižní Město,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,18,26.0,26,0,0
CZ,211,CZ-0326-05,Veolia Energie - Provoz Nový Jičín,Veolia Energie - Provoz Nový Jičín,Provoz Nový Jičín,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,6650,1211.0,1211,0,0
CZ,216,CZ-0330-05,Veolia Energie - Teplárna Frýdek-Místek,Veolia Energie - Teplárna Frýdek-Místek,Teplárna Frýdek-Místek,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,51645,8930.0,8930,0,0
CZ,217,CZ-0328-05,Veolia Energie - Teplárna Karviná,Veolia Energie - Teplárna Karviná,Teplárna Karviná,Veolia Energie,Veolia Energie,20,Combustion of fuels,Výroba elektřiny a tepla,2021,256224,16721.0,16721,0,0
